logger_ID,elevation
1,2242
2,3010
3,2885
4,2825
5,3026
7,2810
8,2259
9,2983
10,2788
12,2934
13,3021
14,2836
17,3133
18,2555
19,2850
20,2975
21,2917
22,2856
23,3043
24,2950
25,2252
26,2759
27,2686
28,2814
30,2960
31,3062
32,2891
33,2794
34,3018
35,2905
36,3028
37,2974
39,2797
40,3157
41,2744
42,2270
43,2994
44,2806
45,3093
46,2670
48,2794
49,2866
50,2975
51,2773
52,2946
53,2271
54,2845
55,3114
56,2778
57,3132
58,3119
60,2996
61,2733
63,3022
64,2935
65,2309
66,3062
67,2997
68,2276
69,2977
70,3053
73,3223
74,3103
75,2986
76,2922
77,3151
78,2914
79,2873
81,2295
82,2739
83,2923
84,2999
85,2936
86,2829
87,2911
88,2872
89,2935
90,2788
91,2871
92,2897
93,3064
94,3031
95,2861
96,2918
97,2879
98,2951
99,2766
101,2829
103,3134
104,2779
105,2884
106,3086
107,2715
108,2991
109,2235
110,2946
111,2847
112,2791
113,2915
114,2964
115,3047
116,2647
117,2921
118,2386
119,2832
120,2887
121,3131
122,2988
123,3090
124,2250
126,2917
127,2867
128,3110
129,2522
131,2262
133,2988
134,2914
135,2842
137,2219
138,2962
139,2821
141,2192
142,2958
143,2319
144,2245
145,2677
146,2571
148,2837
149,2575
150,3426
151,2570
153,2243
154,2818
155,2537
156,2252
157,2872
158,3108
160,2268
161,3279
162,3219
163,3230
164,2553
165,2419
166,3096
167,2685
168,2891
169,2624
170,3508
171,3076
172,2982
174,2600
178,2636
179,3049
180,2252
181,3274
182,2235
183,2262
184,3205
185,2275
186,2271
187,3346
188,3064
189,3075
190,2894
191,3074
192,3377
193,3248
194,3391
195,3140
196,3362
197,3208
198,3189
199,3408
200,3240
201,3061
202,3398
203,3241
204,2858
205,3434
206,3216
207,2999
208,3193
209,3112
210,3181
211,3482
212,2884
213,3212
214,3096
215,3105
216,3129
217,3309
218,3215
219,2382
220,3489
221,3398
222,3110
223,3203
224,3125
225,2942
226,3138
227,3457
228,3300
229,3202
230,3037
231,3220
232,3183
233,3338
234,3212
235,3266
236,3102
238,2235
239,1935
240,1891
241,2048
242,2007
243,2030
244,1973
245,1940
246,1934
247,2003
248,1980
249,2005
250,1979
251,1983
252,2078
253,1999
254,1989
255,2010
256,1972
257,1866
258,2041
259,1985
260,1896
261,1983
262,1907
263,2040
264,1945
266,2015
267,1917
268,2047
269,2047
270,2039
271,1976
272,1996
273,1992
274,1974
275,2308
276,2251
277,1965
278,2265
279,1846
280,2018
281,2420
282,1995
283,2411
284,2666
285,2400
286,2410
287,2643
288,2363
289,2409
290,2380
291,2271
292,2410
293,2345
294,2349
295,2495
296,2015
297,2403
298,2031
300,2515
301,2442
302,2285
303,2549
304,2382
305,2534
306,2290
307,2279
308,2470
309,2540
310,2177
311,2242
312,2251
313,2261
314,2209
315,2451
316,2195
317,2213
318,2214
319,2208
320,2232
321,2403
322,2242
323,2236
324,2183
325,2417
326,2200
327,2189
328,2255
329,2443
330,2229
331,2212
332,2349
333,2214
334,2180
335,2385
336,2227
337,2266
338,2307
339,2212
340,2458
341,2212
342,2250
343,2202
344,2266
345,2245
346,2210
347,2148
348,2424
349,2220
350,2220
351,2185
352,2216
353,2240
354,2268
355,2269
356,2233
