species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Species Richness,0.3874163021351533,0.325280502871653,HLI,1,0.06213579926350032,species,Head Load Index (HLI)
Species Richness,0.3964742857446236,0.325280502871653,HLI,3,0.07119378287297062,species,Head Load Index (HLI)
Species Richness,0.3930853215271716,0.325280502871653,HLI,7,0.06780481865551857,species,Head Load Index (HLI)
Species Richness,0.3880838764116269,0.325280502871653,HLI,15,0.0628033735399739,species,Head Load Index (HLI)
Species Richness,0.3881712365802843,0.325280502871653,HLI,19,0.0628907337086313,species,Head Load Index (HLI)
Species Richness,0.39011182472423733,0.325280502871653,HLI,25,0.06483132185258433,species,Head Load Index (HLI)
Species Richness,0.392534577950034,0.325280502871653,HLI,31,0.06725407507838099,species,Head Load Index (HLI)
Species Richness,0.39245936319574104,0.325280502871653,HLI,51,0.06717886032408804,species,Head Load Index (HLI)
Species Richness,0.3958721075362085,0.325280502871653,HLI,71,0.0705916046645555,species,Head Load Index (HLI)
Species Richness,0.398048463902138,0.325280502871653,HLI,101,0.072767961030485,species,Head Load Index (HLI)
Species Richness,0.39924531286865805,0.325280502871653,HLI,151,0.07396480999700505,species,Head Load Index (HLI)
Species Richness,0.4005421229745908,0.325280502871653,HLI,201,0.0752616201029378,species,Head Load Index (HLI)
Species Richness,0.40370543645517454,0.325280502871653,HLI,301,0.07842493358352154,species,Head Load Index (HLI)
Species Richness,0.34931462446409833,0.325280502871653,HSD,1,0.02403412159244533,species,Hill Shade 180 (HSD)°
Species Richness,0.3481160412686418,0.325280502871653,HSD,3,0.02283553839698882,species,Hill Shade 180 (HSD)°
Species Richness,0.34807419684137775,0.325280502871653,HSD,7,0.02279369396972475,species,Hill Shade 180 (HSD)°
Species Richness,0.35127315012232707,0.325280502871653,HSD,15,0.02599264725067407,species,Hill Shade 180 (HSD)°
Species Richness,0.3520943953808344,0.325280502871653,HSD,19,0.02681389250918142,species,Hill Shade 180 (HSD)°
Species Richness,0.3524511677351482,0.325280502871653,HSD,25,0.02717066486349517,species,Hill Shade 180 (HSD)°
Species Richness,0.3523014318342237,0.325280502871653,HSD,31,0.02702092896257069,species,Hill Shade 180 (HSD)°
Species Richness,0.35102571973657914,0.325280502871653,HSD,51,0.02574521686492614,species,Hill Shade 180 (HSD)°
Species Richness,0.3494014474762315,0.325280502871653,HSD,71,0.02412094460457847,species,Hill Shade 180 (HSD)°
Species Richness,0.34765777858418845,0.325280502871653,HSD,101,0.02237727571253545,species,Hill Shade 180 (HSD)°
Species Richness,0.34958550919335774,0.325280502871653,HSD,151,0.02430500632170473,species,Hill Shade 180 (HSD)°
Species Richness,0.35246855514070874,0.325280502871653,HSD,201,0.02718805226905574,species,Hill Shade 180 (HSD)°
Species Richness,0.3573085915206442,0.325280502871653,HSD,301,0.0320280886489912,species,Hill Shade 180 (HSD)°
Species Richness,0.32969394078763037,0.325280502871653,MBI,1,0.00441343791597736,species,Diffuse Solar radiation (MBI)
Species Richness,0.33283661310812085,0.325280502871653,MBI,3,0.00755611023646785,species,Diffuse Solar radiation (MBI)
Species Richness,0.33205234275179885,0.325280502871653,MBI,7,0.00677183988014584,species,Diffuse Solar radiation (MBI)
Species Richness,0.3301577316291311,0.325280502871653,MBI,15,0.00487722875747809,species,Diffuse Solar radiation (MBI)
Species Richness,0.32944026482077915,0.325280502871653,MBI,19,0.00415976194912615,species,Diffuse Solar radiation (MBI)
Species Richness,0.3298010663466018,0.325280502871653,MBI,25,0.00452056347494878,species,Diffuse Solar radiation (MBI)
Species Richness,0.32921921858048053,0.325280502871653,MBI,31,0.00393871570882753,species,Diffuse Solar radiation (MBI)
Species Richness,0.33130347158997386,0.325280502871653,MBI,51,0.00602296871832086,species,Diffuse Solar radiation (MBI)
Species Richness,0.3358254181844741,0.325280502871653,MBI,71,0.01054491531282109,species,Diffuse Solar radiation (MBI)
Species Richness,0.334543096632996,0.325280502871653,MBI,101,0.00926259376134297,species,Diffuse Solar radiation (MBI)
Species Richness,0.3318543808052913,0.325280502871653,MBI,151,0.00657387793363828,species,Diffuse Solar radiation (MBI)
Species Richness,0.326361826326508,0.325280502871653,MBI,201,0.00108132345485501,species,Diffuse Solar radiation (MBI)
Species Richness,0.3291874885999113,0.325280502871653,MBI,301,0.00390698572825831,species,Diffuse Solar radiation (MBI)
Species Richness,0.33214137774400343,0.325280502871653,MDI,1,0.00686087487235043,species,Direct Solar radiation (MDI)
Species Richness,0.33188150030905395,0.325280502871653,MDI,3,0.00660099743740094,species,Direct Solar radiation (MDI)
Species Richness,0.3368652953462775,0.325280502871653,MDI,7,0.01158479247462451,species,Direct Solar radiation (MDI)
Species Richness,0.33618987678656664,0.325280502871653,MDI,15,0.01090937391491364,species,Direct Solar radiation (MDI)
Species Richness,0.339442337152966,0.325280502871653,MDI,19,0.01416183428131301,species,Direct Solar radiation (MDI)
Species Richness,0.3377306112825934,0.325280502871653,MDI,25,0.0124501084109404,species,Direct Solar radiation (MDI)
Species Richness,0.3375721932670165,0.325280502871653,MDI,31,0.01229169039536348,species,Direct Solar radiation (MDI)
Species Richness,0.33867765364068825,0.325280502871653,MDI,51,0.01339715076903524,species,Direct Solar radiation (MDI)
Species Richness,0.3417938353312068,0.325280502871653,MDI,71,0.01651333245955377,species,Direct Solar radiation (MDI)
Species Richness,0.34069040270352324,0.325280502871653,MDI,101,0.01540989983187024,species,Direct Solar radiation (MDI)
Species Richness,0.340611400824139,0.325280502871653,MDI,151,0.01533089795248598,species,Direct Solar radiation (MDI)
Species Richness,0.33577550355023256,0.325280502871653,MDI,201,0.01049500067857955,species,Direct Solar radiation (MDI)
Species Richness,0.32935787405934125,0.325280502871653,MDI,301,0.00407737118768825,species,Direct Solar radiation (MDI)
Species Richness,0.3296946033490148,0.325280502871653,MSVF,1,0.00441410047736179,species,Sky View Factor (MSVF)
Species Richness,0.3328129656037514,0.325280502871653,MSVF,3,0.00753246273209839,species,Sky View Factor (MSVF)
Species Richness,0.332271678174761,0.325280502871653,MSVF,7,0.00699117530310799,species,Sky View Factor (MSVF)
Species Richness,0.330540351063464,0.325280502871653,MSVF,15,0.00525984819181102,species,Sky View Factor (MSVF)
Species Richness,0.32981835203613996,0.325280502871653,MSVF,19,0.00453784916448696,species,Sky View Factor (MSVF)
Species Richness,0.33009307682518096,0.325280502871653,MSVF,25,0.00481257395352796,species,Sky View Factor (MSVF)
Species Richness,0.3295421801534917,0.325280502871653,MSVF,31,0.00426167728183868,species,Sky View Factor (MSVF)
Species Richness,0.33155684266333274,0.325280502871653,MSVF,51,0.00627633979167974,species,Sky View Factor (MSVF)
Species Richness,0.3356702949420832,0.325280502871653,MSVF,71,0.01038979207043022,species,Sky View Factor (MSVF)
Species Richness,0.33421021971671094,0.325280502871653,MSVF,101,0.00892971684505794,species,Sky View Factor (MSVF)
