species,elevation_only
Agrostis schraderiana,0.13078929491993885
Alchemilla vulgaris agg.,0.21520435883529265
Anthoxanthum alpinum,0.1464735978641134
Helictochloa versicolor,0.05664791535392277
Campanula scheuchzeri,0.164886540648979
Festuca melanopsis,0.1713739910442862
Geranium sylvaticum,0.2505840473352938
Geum montanum,0.03244556246601593
Homogyne alpina,0.21801678662308355
Leontodon hispidus,0.3054866687912975
Luzula alpinopilosa,0.10850038914434212
Bistorta vivipara,0.11927565078565805
Potentilla aurea,0.18679156809666764
Ranunculus villarsii,0.27119408033391534
Rhododendron ferrugineum,0.30343571775650635
Salix helvetica,0.15452838873259644
Scorzoneroides helvetica,0.1808736722116273
Silene vulgaris,0.20912185606124367
Solidago virgaurea,0.22552297429503843
Vaccinium uliginosum,0.21316664116174167
Vaccinium myrtillus,0.27303048287444065
Viola biflora,0.29300929238983775
Carex curvula,0.17443929493807442
Cerastium uniflorum,0.30717763668177556
Festuca halleri agg.,0.08933281700727536
Leucanthemopsis alpina,0.17775154219468714
Luzula spicata,0.14031462491377622
Cherleria sedoides,0.17627426816258696
Oreochloa disticha,0.15702054939845822
Primula glutinosa,0.16933991199803222
Saxifraga bryoides,0.286088295151116
Sedum alpestre,0.1481278110337263
Silene acaulis,0.13493581964104973
Veronica alpina,0.1347258459410019
Agrostis rupestris,0.13161424116884435
Cardamine resedifolia,0.13664349630965533
Gnaphalium supinum,0.2064773529497952
Poa alpina,0.06493226097168148
Poa laxa,0.4352407137198355
Salix herbacea,0.07897683274092415
Ranunculus glacialis,0.4261723453802324
Sagina saginoides,0.15398526582834204
Deschampsia cespitosa,0.18786544659361304
Phyteuma hemisphaericum,0.06832749093474366
Campanula barbata,0.1075787929694001
Carex sempervirens,0.23072453626516398
Gentiana acaulis,0.0667096176412626
Lotus corniculatus,0.21975307774146946
Luzula alpina,0.13577268769740303
Luzula lutea,0.08533949129032203
Ligusticum mutellina,0.09842375288028982
Myosotis alpestris,0.12506626038005464
Nardus stricta,0.21476009127903695
Rhinanthus glacialis,0.3064461121822366
Selaginella selaginoides,0.13955664933929623
Trifolium pallescens,0.05034968490048408
Trifolium pratense,0.15808548013547608
Euphrasia minima,0.11236553466164312
Geum reptans,0.22887050907354334
Achillea erba-rotta subsp. moschata,0.035976287836221865
Agrostis alpina,0.08216595758222323
Hieracium alpinum,0.058394986606747246
Sempervivum montanum,0.027119601254077752
Veronica bellidioides,0.044239883676145064
Avenella flexuosa,0.3246734441005079
Primula minima,0.07993043957036605
Soldanella pusilla,0.09224158294310059
Sibbaldia procumbens,0.10159281988935709
Juncus trifidus,0.11705212938212572
Jacobaea carniolica,0.043788562304292844
Bartsia alpina,0.16310637502509684
Kobresia myosuroides,0.03236237274614473
Vaccinium vitis-idaea,0.22587758358398968
Calluna vulgaris,0.24154776229961805
Calamagrostis villosa,0.26826611547780266
Juniperus communis subsp. nana,0.24232984730501472
Phleum alpinum agg.,0.11842914833679552
Cirsium spinosissimum,0.10137424331413658
Festuca nigrescens,0.3881411715753327
