species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Agrostis schraderiana,0.17582518438864414,0.1361607240263606,HLI,1,0.03966446036228355,species,Head Load Index (HLI)
Agrostis schraderiana,0.1861910469334358,0.1361607240263606,HLI,3,0.05003032290707521,species,Head Load Index (HLI)
Agrostis schraderiana,0.18304911002131496,0.1361607240263606,HLI,7,0.04688838599495437,species,Head Load Index (HLI)
Agrostis schraderiana,0.18541234372898308,0.1361607240263606,HLI,15,0.04925161970262248,species,Head Load Index (HLI)
Agrostis schraderiana,0.18871221418718231,0.1361607240263606,HLI,19,0.05255149016082172,species,Head Load Index (HLI)
Agrostis schraderiana,0.19418886483619868,0.1361607240263606,HLI,25,0.05802814080983809,species,Head Load Index (HLI)
Agrostis schraderiana,0.19704208010799584,0.1361607240263606,HLI,31,0.06088135608163525,species,Head Load Index (HLI)
Agrostis schraderiana,0.19798393833183692,0.1361607240263606,HLI,51,0.06182321430547632,species,Head Load Index (HLI)
Agrostis schraderiana,0.2013212999093501,0.1361607240263606,HLI,71,0.06516057588298951,species,Head Load Index (HLI)
Agrostis schraderiana,0.2091528901158174,0.1361607240263606,HLI,101,0.0729921660894568,species,Head Load Index (HLI)
Agrostis schraderiana,0.22617049528297217,0.1361607240263606,HLI,151,0.09000977125661158,species,Head Load Index (HLI)
Agrostis schraderiana,0.2375550818315798,0.1361607240263606,HLI,201,0.10139435780521922,species,Head Load Index (HLI)
Agrostis schraderiana,0.2368249404387487,0.1361607240263606,HLI,301,0.1006642164123881,species,Head Load Index (HLI)
Agrostis schraderiana,0.15045544910289654,0.1361607240263606,HSD,1,0.01429472507653595,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.1519369942179567,0.1361607240263606,HSD,3,0.01577627019159611,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.14875305231688318,0.1361607240263606,HSD,7,0.01259232829052259,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.1460866195002325,0.1361607240263606,HSD,15,0.0099258954738719,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.14591798258443034,0.1361607240263606,HSD,19,0.00975725855806974,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.14559888794534126,0.1361607240263606,HSD,25,0.00943816391898066,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.1447818998932986,0.1361607240263606,HSD,31,0.008621175866938,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.14338834828369085,0.1361607240263606,HSD,51,0.00722762425733025,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.14374288937801372,0.1361607240263606,HSD,71,0.00758216535165312,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.1461920752839888,0.1361607240263606,HSD,101,0.01003135125762821,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.15146168913653335,0.1361607240263606,HSD,151,0.01530096511017276,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.1552022925986215,0.1361607240263606,HSD,201,0.01904156857226091,species,Hill Shade 180° (HSD)
Agrostis schraderiana,0.1600594151059227,0.1361607240263606,HSD,301,0.0238986910795621,species,Hill Shade 180° (HSD)
